#Line    Trace        X           Y           Time        Flag            FaultName 
1961   4164     576137.500    4208452.746       2281.200   21                    F01
1961   4147     576137.500    4208236.291       2413.400   21                    F01
1961   4117     576137.500    4207865.231       2590.000   21                    F01
1961   4085     576137.500    4207457.132       2798.200   21                    F01
1961   4051     576137.500    4207040.194       2964.600   21                    F01
1961   4019     576137.500    4206636.172       3109.200   21                    F01
1961   3987     576137.500    4206236.227       3246.400   21                    F01
1961   3955     576137.500    4205836.282       3393.400   21                    F01
1961   3916     576137.500    4205344.592       3528.200   21                    F01
1961   3884     576137.500    4204944.647       3658.000   21                    F01
1961   3852     576137.500    4204544.702       3782.800   21                    F01
2001   4413     576637.500    4211565.320       1149.400   22                    F01
2001   4395     576637.500    4211331.878       1237.600   22                    F01
2001   4368     576637.500    4210998.529       1374.800   22                    F01
2001   4348     576637.500    4210752.856       1465.400   22                    F01
2001   4329     576637.500    4210506.842       1529.200   22                    F01
2001   4302     576637.500    4210169.418       1612.400   22                    F01
2001   4282     576637.500    4209919.324       1710.400   22                    F01
2001   4257     576637.500    4209615.204       1872.000   22                    F01
2001   4242     576637.500    4209423.556       2038.600   22                    F01
2001   4223     576637.500    4209181.958       2193.000   22                    F01
2001   4211     576637.500    4209036.184       2303.200   22                    F01
2001   4187     576637.500    4208740.216       2447.600   22                    F01
2001   4159     576637.500    4208390.222       2589.800   22                    F01
2001   4136     576637.500    4208094.598       2712.200   22                    F01
2001   4115     576637.500    4207831.930       2837.200   22                    F01
2001   4088     576637.500    4207503.003       2937.600   22                    F01
2001   4064     576637.500    4207198.541       3062.600   22                    F01
2001   4031     576637.500    4206790.442       3172.800   22                    F01
2001   4000     576637.500    4206398.651       3297.800   22                    F01
2001   3956     576637.500    4205844.436       3454.600   22                    F01
2001   3914     576637.500    4205319.446       3587.000   22                    F01
2001   3862     576637.500    4204677.902       3731.400   22                    F01
2001   3854     576637.500    4204578.003       3763.200   22                    F01
1981   4421     576387.500    4211665.222       1134.800   23                    F01
1981   4399     576387.500    4211390.320       1223.000   23                    F01
1981   4370     576387.500    4211023.675       1343.000   23                    F01
1981   4336     576387.500    4210598.584       1472.800   23                    F01
1981   4308     576387.500    4210248.590       1568.400   23                    F01
1981   4280     576387.500    4209902.673       1693.200   23                    F01
1981   4245     576387.500    4209465.350       1874.600   23                    F01
1981   4222     576387.500    4209169.385       2048.400   23                    F01
1981   4199     576387.500    4208886.331       2210.200   23                    F01
1981   4174     576387.500    4208577.792       2371.800   23                    F01
1981   4149     576387.500    4208265.176       2516.200   23                    F01
1981   4123     576387.500    4207940.326       2665.600   23                    F01
1981   4102     576387.500    4207673.584       2805.400   23                    F01
1981   4067     576387.500    4207240.338       2974.400   23                    F01
1981   4036     576387.500    4206852.966       3128.600   23                    F01
1981   4005     576387.500    4206456.759       3246.200   23                    F01
1981   3971     576387.500    4206040.503       3373.600   23                    F01
1981   3925     576387.500    4205457.065       3528.200   23                    F01
1981   3890     576387.500    4205023.480       3645.600   23                    F01
1981   3858     576387.500    4204627.951       3770.600   23                    F01
2021   4348     576887.500    4210744.360       1448.200   24                    F01
2021   4317     576887.500    4210365.484       1644.200   24                    F01
2021   4292     576887.500    4210044.372       1832.800   24                    F01
2021   4262     576887.500    4209673.651       2065.600   24                    F01
2021   4241     576887.500    4209411.322       2224.800   24                    F01
